User_id,Last_Name,First_Name,Canton,Party,Fraction,Akteur,Year,Week,Twitter_Success_Score
164344766,Covo,Sandro,Aargau,sozialdemokratische partei der schweiz,NA,Candidate,2019,37,4.58914503448226
616466190,Peran,Xenia,Tessin,lega verde,NA,Candidate,2019,37,4.13567138257996
1020454890,Müller,Joël,Solothurn,christlichdemokratische volkspartei der schweiz,NA,Candidate,2019,37,4.34991715539214
334665987,Company,Xavier,Waadt,grÜne partei der schweiz,NA,Candidate,2019,37,4.84808295344775
157431387,Sommaruga,Carlo,Genf,sozialdemokratische partei der schweiz,SOZIALDEMOKRATISCHE FRAKTION,Parliamentarian,2019,37,4.42964206445949
198977198,Curau,Laura,Bern,christlichdemokratische volkspartei der schweiz,NA,Candidate,2019,37,4.53803396142265
372480800,Moser,Felix,Zuerich,grÜne partei der schweiz,NA,Candidate,2019,37,3.84243338840508
791628426444767232,Lüthi,Thomas,Solothurn,grÜnliberale partei,NA,Candidate,2019,37,4.59712408436979
14421057,Frischknecht,Daniel,Thurgau,eidgenÖssische demokratische union der schweiz,NA,Candidate,2019,37,0
220694516,Daphinoff,Michael,Bern,christlichdemokratische volkspartei der schweiz,NA,Candidate,2019,37,4.02335919242167
217215723,Schaffner,Barbara,Zuerich,grÜnliberale partei,NA,Candidate,2019,37,4.74632473337148
228152260,Büchner,Philipp,Zuerich,christlichdemokratische volkspartei der schweiz,NA,Candidate,2019,37,4.10765678121548
123362849,Flach,Beat,Aargau,grÜnliberale partei,GRÜNLIBERALE FRAKTION,Parliamentarian,2019,37,4.90788137819706
211865479,Gogniat,Yves,Zuerich,unabhÄngigkeitspartei,NA,Candidate,2019,37,4.16060726879676
263745746,Flury,Christian M.,Bern,piratenpartei schweiz,NA,Candidate,2019,37,4.42707782518437
323221890,NA,NA,NA,NA,NA,Schweizer Bauernverband,2019,37,4.45045353340572
739835941641150464,NA,NA,NA,NA,NA,Suisse,2019,37,4.63589692373495
41554259,Dupertuis,Michael,Waadt,grÜnliberale partei,NA,Candidate,2019,37,4.22663156693112
778644518,Nordmann,Roger,Waadt,sozialdemokratische partei der schweiz,SOZIALDEMOKRATISCHE FRAKTION,Parliamentarian,2019,37,4.97279114396784
469549703,Binder-Keller,Marianne,Aargau,christlichdemokratische volkspartei der schweiz,NA,Candidate,2019,37,4.91707280398049
168790724,NA,NA,NA,schweizerische volkspartei,FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI,Schweizerische Volkspartei,2019,37,5.1241378264477
67149451,Köpfli,Michael,Bern,grÜnliberale partei,NA,Candidate,2019,37,4.84694765495965
2891193658,Schnegg,Christine,Bern,evangelische volkspartei der schweiz,NA,Candidate,2019,37,3.96998992502644
100203810,Lepori,Carlo,Tessin,sozialdemokratische partei der schweiz,NA,Candidate,2019,37,2.73875231162499
1035855227038191619,Schönbächler,Philipp,St. Gallen,grÜnliberale partei,NA,Candidate,2019,37,4.58185834867578
782066856,Bellaiche,Judith,Zuerich,grÜnliberale partei,NA,Candidate,2019,37,4.50505450121772
187853842,NA,NA,NA,NA,NA,Schweizer Radio und Fernsehen,2019,37,5.28557042873426
89185270,Roth,David,Luzern,sozialdemokratische partei der schweiz,NA,Candidate,2019,37,4.79353844259354
16296799,Pürro,Manfred,Bern,piratenpartei schweiz,NA,Candidate,2019,37,4.6602805623593
761741430,Landolt,Martin,Glarus,bÜrgerlich-demokratische partei schweiz,FRAKTION BD,Parliamentarian,2019,37,4.94116280245269
2941146705,Holten,Nancy,Aargau,piratenpartei schweiz,NA,Candidate,2019,37,4.41110443635955
350198606,Pantani,Roberta,Tessin,lega dei ticinesi,FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI,Parliamentarian,2019,37,4.158452321297
991720068,Regazzi,Fabio,Tessin,christlichdemokratische volkspartei der schweiz,CVP-FRAKTION,Parliamentarian,2019,37,4.36332948073741
3236860221,Mück,Heidi,Basel-Stadt,NA,NA,Candidate,2019,37,4.482332750607
260237151,Kunz,André,Bern,piratenpartei schweiz,NA,Candidate,2019,37,2.70265779938599
715086847723102208,Schnorf,Thomas,Aargau,bÜrgerlich-demokratische partei schweiz,NA,Candidate,2019,37,4.47304577982622
1125301153,Maggi,Luca,Zuerich,grÜne partei der schweiz,NA,Candidate,2019,37,4.47410420325334
13348402,Stürmer,Matthias,Bern,evangelische volkspartei der schweiz,NA,Candidate,2019,37,5.07593107133528
209019139,Brotschi,Peter,Solothurn,christlichdemokratische volkspartei der schweiz,NA,Candidate,2019,37,4.09839068666555
